narration,category
NEFT/022183088032/IOC FUEL STATION,Fuel
POS PURCHASE APPLE MUSIC,Entertainment
UPI PAYMENT ASUS,Electronics
AUTO DEBIT STANZALIVING,Rent
POS 611046 GOLD GYM,Health
UPI PAYMENT CHEQUE BOOK CHARGES,Bank Charges
UPI/OUT/609567272051/iciciban@okicici/Payment,Loan EMI
MANDATE-ZEPTO,Groceries
ACH DR INOX LEISURE,Entertainment
POS PURCHASE BEST BUSES,Transport
RTGS/531512516316/VAN HEUSEN,Shopping
UPI/PANASONIC/135927250996,Electronics
IMPS-TREEBO-38467134,Travel
RTGS/054054927221/NON MAINTENANCE CHARGE,Bank Charges
POS 716640 BOOKMYSHOW,Entertainment
UPI/MAMAEARTH,Personal Care
UPI/DISNEY HOTSTAR,Entertainment
NEFT-CANARA BANK INTEREST-94853034,Interest Income
EMI DEBIT EDUCATION LOAN EMI,Loan EMI
AUTO DEBIT SPOTIFY PREMIUM,Subscriptions
SIP DEBIT UTI MF,Investment
CASH WITHDRAWAL 59932971,Cash Withdrawal
RTGS/980925718257/ICICI PRUDENTIAL MF,Investment
IMPS/503672856946/BPCL PUMP,Fuel
POS/260559/AIRTEL BROADBAND,Utilities
ECS-PLAYSTATION STORE,Entertainment
NEFT/191257175730/SWIGGY ONE,Subscriptions
BILLDESK-MCAFFEINE-461406,Personal Care
NEFT/161245564891/FI TRANSFER,Transfer
UPI/NOTION PRO/320075953336,Subscriptions
UPI-P2A-380783089979-ATM KOTAK,Cash Withdrawal
POS PURCHASE ABHIBUS,Travel
UPI/BWSSB,Utilities
UPI PAYMENT YLG SALON,Personal Care
UPI PAYMENT RESONANCE,Education
IMPS-BBMP PROPERTY TAX-39315104,Tax
RTGS SALARY CREDIT FLIPKART,Income
ECS-BEST BUSES,Transport
INSURANCE PREMIUM NEW INDIA ASSURANCE,Insurance
NEFT-MSEDCL-34316942,Utilities
MANDATE-INDUSIND BANK EMI,Loan EMI
LOAN EMI EDUCATION LOAN EMI,Loan EMI
UPI/SAGAR RATNA,Food & Dining
BILLDESK-MCGM PROPERTY TAX-539216,Tax
UPI/BSES RAJDHANI,Utilities
ECS-HP PETROL PUMP,Fuel
UPI/ICICI BANK SAVINGS INTEREST,Interest Income
IMPS-ATM CASH WITHDRAWAL-20279648,Cash Withdrawal
NEFT/SELF/58217056,Transfer
UPI/DR/151971363122/INCOME TAX PAYMENT,Tax
NEFT-LOCKER RENT CHARGES-81731165,Bank Charges
UPI-DR-306412160099-AXIS MF,Investment
UPI/OUT/505384007727/wynkmusi@okaxis/Payment,Entertainment
EMI DEBIT EDUCATION LOAN EMI,Loan EMI
UPI/DR/863010561147/ATM BOB,Cash Withdrawal
NEFT/429590389207/APPLE ONE,Subscriptions
POS PURCHASE RELIANCE DIGITAL,Shopping
ACH DR POST OFFICE INTEREST,Interest Income
IMPS-INET/Fund Trf/NOBROKER,Rent
UPI/OUT/912227525945/liquidfu@ibl/Payment,Interest Income
NEFT/864806227596/GST REFUND,Tax
IMPS/894166871032/YATRA,Travel
ACH-EMI-BAJAJ FINSERV EMI-91223327,Loan EMI
ACH DR MAMAEARTH,Personal Care
UPI-DR-642813917779-UNITED INDIA INSURANCE,Insurance
UPI/POST OFFICE INTEREST/818957155045,Interest Income
NEFT-VLCC-33919858,Personal Care
UPI/DR/864206076862/MAX HEALTHCARE,Health
AUTO DEBIT UTI MF,Investment
BILLDESK-KARNATAKA PT-944992,Tax
UPI-DR-967387117687-PNB FD INTEREST,Interest Income
POS PURCHASE MUTUAL FUND DIVIDEND,Interest Income
NACH-DREAM11-16557123,Entertainment
UPI/OUT/420380345823/jiobp@kotak/Payment,Fuel
ACH DR NON MAINTENANCE CHARGE,Bank Charges
IMPS-WESTSIDE-64633514,Shopping
UPI/OUT/113452511308/smsalert@ibl/Payment,Bank Charges
UPI-P2A-146691398121-FISDOM,Investment
UPI-P2A-716806111099-HIMALAYA DRUG,Personal Care
NSDL TIN 46056744,Tax
UPI/OUT/315308189337/shoppers@okaxis/Payment,Shopping
UPI/OYO ROOMS,Travel
UPI-P2A-561561243288-MYNTRA,Shopping
UPI/DR/883659322254/STANZALIVING,Rent
UPI-P2A-931307498523-ZOMATO PRO,Subscriptions
SELF TRANSFER 19689992,Transfer
UPI-P2A-632618756250-GULF OIL,Fuel
POS PURCHASE UPGRAD,Education
POS 156484 ACCOUNT TRANSFER,Transfer
NEFT-FORTIS HEALTHCARE-67902290,Health
MANDATE-PSPCL,Utilities
ECS-LAKME SALON,Personal Care
IMPS/548347724698/BOB INTEREST CREDIT,Interest Income
UPI-P2A-467885551925-BARBEQUE NATION,Food & Dining
NEFT/494982511696/COX AND KINGS,Travel
UPI-P2A-099157924289-ATM PNB,Cash Withdrawal
UPI-DR-961548641871-PRACTO,Health
UPI-P2A-514220069589-GOOGLE ONE,Subscriptions
NEFT-NIVA BUPA-36123437,Insurance
SIP DEBIT DSP MUTUAL FUND,Investment
UPI PAYMENT LAZYPAY EMI,Loan EMI
UPI-P2A-723288585205-ACCENTURE INDIA,Income
IMPS-DELHI PROPERTY TAX-35369400,Tax
ECS-METRO CASH AND CARRY,Groceries
AUTO DEBIT POST OFFICE INTEREST,Interest Income
RTGS/717735936331/ACER,Electronics
POS/133464/BLINKIT,Groceries
UPI PAYMENT PHONEPE TRANSFER,Transfer
MANDATE-NETFLIX,Entertainment
NEFT-NATIONAL INSURANCE-26529081,Insurance
UPI-P2A-263789968850-UDEMY BUSINESS,Subscriptions
UPI PAYMENT TECH MAHINDRA,Income
POS 980609 RESONANCE,Education
NEFT/276229790483/RELIANCE PETROL,Fuel
UPI/DR/349287771715/MAMAEARTH,Personal Care
IMPS-LEVI STRAUSS-89058187,Shopping
ACH DR ZEPTO,Groceries
IMPS-PRACTO-21768470,Health
UPI/OUT/917525869028/bouncech@okicici/Payment,Bank Charges
POS/895155/TREEBO,Travel
NEFT/246435544077/WINZO GAMES,Entertainment
UPI PAYMENT CHALO BUS,Transport
POS/493423/NETMEDS,Health
UPI/SWIGGY INSTAMART/100518123279,Groceries
UPI-P2A-649872567822-FIITJEE,Education
RTGS/203188650375/KENDRIYA VIDYALAYA FEES,Education
UPI PAYMENT RELIANCE SMART,Groceries
RTGS/760043361720/PROPERTY TAX,Tax
ACH DR THOMAS COOK,Travel
POS PURCHASE ENRICH SALON,Personal Care
AUTO DEBIT GOIBIBO,Travel
ACH DR JAWED HABIB,Personal Care
UPI/MOTI MAHAL,Food & Dining
NACH-GREAT LEARNING-20393711,Education
NSDL TIN 89217436,Tax
NACH-BOUNCE CHARGES-79212374,Bank Charges
EMI/ZEST MONEY EMI/04057266,Loan EMI
IMPS/139046070499/MICROSOFT 365,Subscriptions
UPI-DR-163671396192-STANZALIVING,Rent
NEFT/173358766839/FIITJEE,Education
UPI PAYMENT APPLE MUSIC,Entertainment
IMPS/440114605788/NIVA BUPA,Insurance
UPI/SPOTIFY PREMIUM/347295430281,Subscriptions
AUTO DEBIT FIRSTCRY,Shopping
NEFT-OLA CABS-45314531,Transport
UPI/OYO LIFE/736766333343,Rent
ECS-TWO WHEELER LOAN,Loan EMI
NEFT SALARY CREDIT PAYROLL CREDIT,Income
NACH-MY11CIRCLE-32161266,Entertainment
NACH-AXIS BANK FD INTEREST-57975331,Interest Income
ECS-PHARMEASY,Health
BILLDESK-ACKO INSURANCE-246521,Insurance
INSURANCE PREMIUM UNITED INDIA INSURANCE,Insurance
UPI-DR-567189617301-LIFESTYLE,Shopping
HATHWAY ONLINE BILL PAYMENT,Utilities
POS PURCHASE JIOMART,Groceries
BILLDESK-AMAZON-125423,Shopping
UPI-DR-607485364433-HOME LOAN EMI,Loan EMI
IMPS/806287553873/FAMILY TRANSFER,Transfer
INSURANCE PREMIUM CARE HEALTH,Insurance
NEFT-MONGINIS-62127707,Food & Dining
POS 124594 CAFE COFFEE DAY,Food & Dining
IMPS/861462144675/VIT UNIVERSITY,Education
BILLDESK-MCGM WATER-213724,Utilities
POS 472686 MAHARASHTRA PT,Tax
ECS-NARAYANA HEALTH,Health
NEFT-HOUSR-08680200,Rent
NACH-ZOMATO PRO-32497083,Subscriptions
UPI-DR-661833670482-SWIGGY ONE,Subscriptions
POS/192042/HERITAGE FRESH,Groceries
POS 041288 BIKANERVALA,Food & Dining
POS PURCHASE GO FIRST,Travel
MANDATE-DMART,Groceries
NEFT/448098890162/NSDL TIN PAYMENT,Tax
POS PURCHASE PAYTM WALLET,Transfer
NEFT-UDUPI PALACE-14629561,Food & Dining
UPI/OUT/411119663404/nefttran@kotak/Payment,Transfer
POS PURCHASE HP PETROL PUMP,Fuel
UPI/PERSONAL LOAN EMI,Loan EMI
POS PURCHASE BEHROUZ BIRYANI,Food & Dining
UPI-P2A-653954607867-KFC,Food & Dining
BILLDESK-LATE PAYMENT FEE-826771,Bank Charges
POS/630676/TDS PAYMENT,Tax
NEFT/483209338778/WESTSIDE,Shopping
POS PURCHASE SHELL INDIA,Fuel
POS 874462 WOW MOMO,Food & Dining
NACH-ZOOM CAR-85285742,Transport
UPI/OUT/941794902321/blusmart@kotak/Payment,Transport
UPI/OUT/713252747185/steamind@kotak/Payment,Entertainment
POS 616044 CASH WITHDRAWAL BRANCH,Cash Withdrawal
POS/380049/GST PAYMENT,Tax
UPI/H&M/056999368937,Shopping
BILLDESK-DTC BUSES-114199,Transport
POS/554721/SUGAR COSMETICS,Personal Care
UPI/DR/777421458971/MAHARASHTRA PT,Tax
ACH DR KOTAK MF,Investment
IMPS-SMALLCASE-74353087,Investment
POS/741963/MEDANTA,Health
IMPS/115365151192/ATM ICICI,Cash Withdrawal
ECS-BOOKMYSHOW,Entertainment
UPI PAYMENT ECS BOUNCE,Bank Charges
IMPS/220783556297/MUTUAL FUND DIVIDEND,Interest Income
MANDATE-IIT FEES,Education
NEFT/337491543176/CULT FIT,Health
IMPS-JIOMART-51043007,Groceries
POS/293654/YOUTUBE PREMIUM,Subscriptions
UPI/MINIMALIST INDIA/475734832637,Personal Care
RTGS/641592324850/ICICI PRUDENTIAL LIFE,Insurance
POS/358296/BOUNCE,Transport
NEFT/085395994422/LOCKER RENT CHARGES,Bank Charges
AUTO DEBIT CREDITAS EMI,Loan EMI
RTGS/994994670291/BLINKIT PASS,Subscriptions
ECS-MORE RETAIL,Groceries
UPI PAYMENT VEHICLE TAX,Tax
NEFT-INDIGO AIRLINES-28310076,Travel
ACH DR QUICKRIDE,Transport
UPI-DR-262544397560-BOOKMYSHOW,Entertainment
MANDATE-AKASA AIR,Travel
UPI-DR-528492055389-HOUSE RENT PAYMENT,Rent
POS/796183/PATANJALI AYURVED,Personal Care
UPI/KOTAK LIFE,Insurance
RTGS/591391860780/SHOPPERS STOP,Shopping
UPI/OUT/083506514486/nayaraen@paytm/Payment,Fuel
RTGS/356902796194/SIMPLILEARN,Education
UPI-DR-843616035226-ZOLO STAYS,Rent
POS PURCHASE RESONANCE,Education
NACH-BOOKING.COM-20760072,Travel
UPI-P2A-446343876323-BESCOM,Utilities
AUTO DEBIT ATM PNB,Cash Withdrawal
UPI-P2A-707322126714-ATM AXIS,Cash Withdrawal
LOAN EMI TWO WHEELER LOAN,Loan EMI
UPI/OUT/449097843911/slackpro@paytm/Payment,Subscriptions
UPI/OUT/686960431620/lenovo@ibl/Payment,Electronics
NEFT/101924825131/MICRO ATM WITHDRAWAL,Cash Withdrawal
IMPS/080302654797/ATM SBI,Cash Withdrawal
UPI PAYMENT ALLEN SOLLY,Shopping
UPI-DR-464410311986-GST PAYMENT,Tax
UPI-DR-607485364433-HOME LOAN EMI,Loan EMI
UPI-P2A-111203658884-AKASA AIR,Travel
POS PURCHASE PLAYSTATION STORE,Entertainment
IMPS-MAMAEARTH-53099906,Personal Care
UPI/DR/608934123964/NIVA BUPA,Insurance
ACH DR SUGAR COSMETICS,Personal Care
NEFT/463004018018/UBER,Transport
UPI/OUT/042584932664/hdfcbank@apl/Payment,Income
NEFT SALARY CREDIT GOOGLE INDIA,Income
ADANI GAS ONLINE BILL PAYMENT,Utilities
RTGS/217683180082/MEDANTA,Health
UPI/DR/450272059440/ATM-NFS WITHDRAWAL,Cash Withdrawal
MANDATE-APARTMENT MAINTENANCE,Rent
POS/885652/UNACADEMY,Education
BILLDESK-CARE HEALTH-365064,Insurance
UPI/NAYARA ENERGY,Fuel
UPI-P2A-972487636306-JIO FIBER,Utilities
UPI PAYMENT APPLE INDIA,Electronics
ACH DR 1MG,Health
UPI-DR-032588763262-MAX FASHION,Shopping
BILLDESK-BOUNCE-633386,Transport
NEFT/194014110257/CAPGEMINI,Income
UPI-P2A-180792973863-BOB INTEREST CREDIT,Interest Income
UPI-DR-639959677820-NYKAA,Personal Care
IMPS-PROCESSING FEE-74262145,Bank Charges
UPI/DR/216048620664/1MG,Health
ACH DR SWIGGY ONE,Subscriptions
UPI/INDUSIND BANK EMI,Loan EMI
AUTO DEBIT ADVANCE TAX,Tax
UPI/CULT FIT/067050435769,Health
POS/844808/AXIS BANK FD INTEREST,Interest Income
ACH DR CROMA,Shopping
ECS-SPLITWISE SETTLEMENT,Transfer
POS PURCHASE VEDANTU,Education
POS/165224/DELHI PROPERTY TAX,Tax
BILLDESK-PROCESSING FEE-116008,Bank Charges
NACH-APPLE MUSIC-47174950,Entertainment
UPI/OUT/894124826118/cuemath@ibl/Payment,Education
UPI/CRED PAY TRANSFER/325883575177,Transfer
RTGS/971613389850/IMPS CHARGES,Bank Charges
POS PURCHASE SONY,Electronics
UPI-DR-982563683806-GLOWROAD,Shopping
NACH-SPICEJET-98563809,Travel
NEFT-DOMINOS-42436778,Food & Dining
UPI-DR-479877423683-TDS PAYMENT,Tax
UPI-P2A-296288925661-THYROCARE,Health
POS PURCHASE STANZALIVING,Rent
ECS-FABINDIA,Shopping
ECS-WESTSIDE,Shopping
UPI/OUT/687481962222/bounce@ibl/Payment,Transport
POS 521723 OLA CABS,Transport
ECS-GOLD GYM,Health
ECS-OYO LIFE,Rent
POS 348137 ADIDAS,Shopping
UPI/OUT/610397111215/pharmeas@ibl/Payment,Health
ECS-ZOMATO,Food & Dining
IMPS-BAJAJ FINSERV EMI-22408611,Loan EMI
NEFT/082034699540/AJIO,Shopping
RTGS/202992130861/LOTUS HERBALS,Personal Care
SELF TRANSFER 95114468,Transfer
UPI/BARISTA,Food & Dining
INDRAPRASTHA GAS ONLINE BILL PAYMENT,Utilities
POS 084534 KISSHT EMI,Loan EMI
MANDATE-AIRTEL BROADBAND,Utilities
UPI-P2A-794200250588-SPEED FUELS,Fuel
UPI/TATA CONSULTANCY,Income
POS/262547/ABHIBUS,Travel
UPI/OUT/892599006388/bpclpump@ybl/Payment,Fuel
AUTO DEBIT RAPIDO BIKE,Transport
UPI/OUT/052436635354/ecsbounc@okaxis/Payment,Bank Charges
ACH DR DROPBOX,Subscriptions
BILLDESK-UNACADEMY-694317,Education
UPI/OUT/591343256347/colive@paytm/Payment,Rent
POS PURCHASE LOTUS HERBALS,Personal Care
IMPS-ATM AXIS-01689179,Cash Withdrawal
NACH-HDFC MUTUAL FUND-75037465,Investment
UPI/OUT/941384601618/zostel@okaxis/Payment,Travel
SUBSCRIPTION TIMES PRIME,Subscriptions
UPI/VLCC/407804307729,Personal Care
MANDATE-SIMPLILEARN,Education
ECS-BPCL PUMP,Fuel
SUBSCRIPTION ADOBE CC,Subscriptions
ECS-FREELANCE PAYMENT,Income
IMPS/491960100753/GST PAYMENT,Tax
ECS-GOLD LOAN EMI,Loan EMI
UPI-DR-974829250677-LOCKER RENT CHARGES,Bank Charges
BILLDESK-HDFC BANK-567966,Income
NEFT-METRO CASH AND CARRY-93207145,Groceries
AUTO DEBIT NAYARA ENERGY,Fuel
ECS-GAANA,Entertainment
ACH DR BESCOM,Utilities
UPI/SIMPLILEARN,Education
POS/991628/CHAAYOS,Food & Dining
NEFT-CHENNAI METRO-71772138,Transport
UPI/OUT/845417626580/amazonpr@okhdfcbank/Payment,Subscriptions
UPI/ZOOM CAR/442891836283,Transport
NEFT-DOMINOS-42436778,Food & Dining
NEFT-AIR INDIA-52818065,Travel
BILLDESK-LIQUID FUND DIVIDEND-321816,Interest Income
IMPS-MY11CIRCLE-77504546,Entertainment
MANDATE-DELL,Electronics
IMPS-APPLE ONE-23825936,Subscriptions
AUTO DEBIT NIVA BUPA,Insurance
IMPS-MOBIKWIK TRANSFER-71210262,Transfer
UPI/DR/850472434607/IMPS CHARGES,Bank Charges
RTGS/255019957953/SWIGGY INSTAMART,Food & Dining
AUTO DEBIT SMS ALERT CHARGES,Bank Charges
AUTO DEBIT MAX HEALTHCARE,Health
NEFT/594710009644/SPEED FUELS,Fuel
POS PURCHASE PSPCL,Utilities
ACH DR NARAYANA COACHING,Education
NEFT/280937134461/ZEPTO,Groceries
UPI/DR/740686173440/HDFC BANK,Income
POS/995646/DU FEES PAYMENT,Education
UPI-P2A-818614165729-COURSERA PLUS,Subscriptions
UPI-P2A-224363319104-IMPS TRANSFER,Transfer
MANDATE-ZOLO STAYS,Rent
NEFT-ZOOM CAR-90949336,Transport
UPI PAYMENT BOOKMYSHOW,Entertainment
UPI-DR-681589785028-HP,Electronics
NEFT-FOREST ESSENTIALS-59987635,Personal Care
NEFT-PVR CINEMAS-68852425,Entertainment
POS PURCHASE NOTION PRO,Subscriptions
POS PURCHASE GST REFUND,Tax
NEFT-KOTAK LIFE-15957090,Insurance
MANDATE-JUPITER TRANSFER,Transfer
ACH DR NON MAINTENANCE CHARGE,Bank Charges
IMPS/299605336512/COURSERA PLUS,Subscriptions
UPI/OUT/192772625346/nilgiris@kotak/Payment,Groceries
NEFT-KWALITY WALLS-01151482,Food & Dining
ACH DR MY11CIRCLE,Entertainment
NACH-GOOGLEPAY TRANSFER-57781399,Transfer
NEFT-VEDANTU-06690614,Education
UPI PAYMENT SWIGGY INSTAMART,Food & Dining
SIP/NIPPON INDIA MF/84548729,Investment
UPI/TALWALKARS,Health
RTGS/689977769958/OLA CABS,Transport
UPI/MICRO ATM WITHDRAWAL,Cash Withdrawal
UPI-P2A-662232363715-HOUSING.COM,Rent
NACH-BANSAL CLASSES-45847798,Education
ACH DR BHIM UPI,Transfer
UPI/ONEPLUS/772342207693,Electronics
LI PREMIUM ADITYA BIRLA HEALTH,Insurance
SELF TRANSFER 72887787,Transfer
UPI-DR-117981945467-BARISTA,Food & Dining
UPI-P2A-840445553854-SIMPLILEARN,Education
ECS-NOISE,Electronics
UPI/FAMILY TRANSFER,Transfer
ECS-INOX LEISURE,Entertainment
IMPS-AMAZON FRESH-63983920,Groceries
UPI/JUPITER TRANSFER,Transfer
NEFT-APARTMENT MAINTENANCE-05676725,Rent
POS/482919/PLUM GOODNESS,Personal Care
RTGS/663997731418/ZEPTO,Groceries
UPI/DR/587961319002/PRACTO,Health
RTGS/174065110229/ALLEN CAREER INSTITUTE,Education
UPI-P2A-284369588501-OYO LIFE,Rent
UPI PAYMENT VLCC,Personal Care
NEFT/829686826759/SAVINGS ACCOUNT INTEREST,Interest Income
AUTO DEBIT KFC,Food & Dining
ACH DR BHARAT PETROLEUM,Fuel
POS PURCHASE UPGRAD,Education
BILLDESK-HOUSE RENT PAYMENT-938304,Rent
UPI/DR/349338087206/NEFT CHARGES,Bank Charges
ACH DR ADITYA BIRLA HEALTH,Insurance
IMPS-ICICI BANK SAVINGS INTEREST-75881148,Interest Income
ACH DR EDUCATION LOAN EMI,Loan EMI
IMPS-LIC OF INDIA-09468480,Insurance
NEFT/463835353629/IMPS CHARGES,Bank Charges
POS/415956/ZINGBUS,Travel
UPI/INDIGO AIRLINES,Travel
NEFT-EASYDAY-60000983,Groceries
ECS-SUBWAY,Food & Dining
UPI/OUT/591343256347/colive@paytm/Payment,Rent
BILLDESK-GOOGLEPAY TRANSFER-829200,Transfer
NEFT-BEHROUZ BIRYANI-25211686,Food & Dining
NEFT-SPOTIFY PREMIUM-18439639,Subscriptions
POS PURCHASE ATM KOTAK,Cash Withdrawal
UPI/NSC INTEREST/373048711126,Interest Income
POS 399866 CAR LOAN EMI,Loan EMI
ECS-CARNIVAL CINEMAS,Entertainment
UPI-DR-737644514485-OPPO,Electronics
RTGS/804658910749/JBL INDIA,Electronics
UPI/DR/718655984662/HDFC BANK FD INTEREST,Interest Income
IMPS-IMPS CHARGES-55662721,Bank Charges
AUTO DEBIT BAJAJ ALLIANZ LIFE,Insurance
MUTUAL FUND NIPPON INDIA MF,Investment
UPI-P2A-138072986749-PROPERTY TAX,Tax
IMPS/503672856946/BPCL PUMP,Fuel
MANDATE-HDFC LIFE,Insurance
POS/512503/HDFC MUTUAL FUND,Investment
NEFT/177416207331/VISHAL MEGA MART,Groceries
UPI/ATM CASH WITHDRAWAL/017676495764,Cash Withdrawal
POS/165224/DELHI PROPERTY TAX,Tax
POS PURCHASE VLCC,Personal Care
RTGS/183673898620/SBI INTEREST CREDIT,Interest Income
POS 932944 FAASOS,Food & Dining
NACH-BAJAJ ELECTRICALS-69982545,Electronics
NEFT-LATE PAYMENT FEE-35952844,Bank Charges
UPI/LANDLORD UPI RENT,Rent
MANDATE-EASEMYTRIP,Travel
NACH-MCGM WATER-09048330,Utilities
UPI/CBSE BOARD FEES,Education
UPI/BOUNCE CHARGES/408789093200,Bank Charges
MANDATE-COIN BY ZERODHA,Investment
NEFT/112782996543/SMART BAZAAR,Groceries
UPI/SUBWAY/336869411790,Food & Dining
ECS-EDUREKA,Education
IMPS/551343494238/IOC FUEL STATION,Fuel
UPI/OUT/505384007727/wynkmusi@okaxis/Payment,Entertainment
NEFT-MIRAE ASSET MF-74456079,Investment
MANDATE-AIR INDIA,Travel
POS/571205/LINKEDIN PREMIUM,Subscriptions
MANDATE-RAPIDO BIKE,Transport
UPI PAYMENT KSRTC,Transport
IMPS-LAZYPAY EMI-46610418,Loan EMI
POS PURCHASE CULT FIT,Health
IMPS-GREEN TRENDS-33290793,Personal Care
UPI-P2A-678405081338-YLG SALON,Personal Care
ACH DR POST OFFICE INTEREST,Interest Income
IMPS-ADOBE CC-83969042,Subscriptions
MANDATE-PNB METLIFE,Insurance
NEFT/404672801456/AIRTEL DTH,Utilities
POS PURCHASE ALLEN CAREER INSTITUTE,Education
EMI DEBIT SBI HOME LOAN EMI,Loan EMI
UPI-DR-314853571508-NYKAA,Shopping
MANDATE-HP PETROL PUMP,Fuel
NEFT/318602548368/FLAT RENT TRANSFER,Rent
IMPS-HYDERABAD METRO-79612948,Transport
IMPS-BIBA-11351030,Shopping
UPI-DR-267953233286-HEALTHIANS,Health
MANDATE-WOODLAND,Shopping
POS 165764 HINDUSTAN PETROLEUM,Fuel
BLINKIT PASS SUBSCRIPTION,Subscriptions
UPI-P2A-149071040650-RELIANCE SMART,Groceries
BILLDESK-FLIPKART GROCERY-383451,Groceries
UPI/AMUL PARLOUR,Food & Dining
UPI PAYMENT CASH WITHDRAWAL BRANCH,Cash Withdrawal
ACH DR DOMINOS,Food & Dining
UPI PAYMENT ATM-NFS WITHDRAWAL,Cash Withdrawal
UPI/DR/246739863373/BATA,Shopping
NEFT-RAYMOND-50300546,Shopping
UPI/DR/506619871710/NATIONAL INSURANCE,Insurance
TDS PAYMENT 48543851,Tax
ACH DR PIZZA HUT,Food & Dining
POS PURCHASE NOISE,Electronics
UPI/ZOLO STAYS/202648464969,Rent
NEFT/755505509256/SRI CHAITANYA,Education
ECS-MCGM PROPERTY TAX,Tax
UPI-DR-087037248691-MINIMALIST INDIA,Personal Care
UPI/ATM AXIS/829750606167,Cash Withdrawal
POS 333806 LANDLORD UPI RENT,Rent
MANDATE-GOLD GYM,Health
UPI/NON MAINTENANCE CHARGE,Bank Charges
UPI/OUT/642086099397/lockerre@apl/Payment,Bank Charges
UPI/DR/100569195863/PPF INTEREST CREDIT,Interest Income
SELF TRANSFER 43561676,Transfer
ACH DR ZOOM CAR,Transport
UPI-P2A-479399405101-BHIM UPI,Transfer
POS 510796 PROCESSING FEE,Bank Charges
DEMAT UTI MF,Investment
UPI/BOUNCE CHARGES/408789093200,Bank Charges
UPI/OUT/698064664339/dishtv@ybl/Payment,Utilities
ACH DR DELL,Electronics
UPI-P2A-598825652614-FI TRANSFER,Transfer
IMPS/537847124345/FLAT RENT TRANSFER,Rent
UPI/LOCKER RENT CHARGES/541633354008,Bank Charges
AUTO DEBIT GOLD GYM,Health
POS 788399 BOUNCE CHARGES,Bank Charges
UPI/DR/559757773753/AIRTEL BROADBAND,Utilities
IMPS-MONGINIS-36767862,Food & Dining
UPI/NON MAINTENANCE CHARGE,Bank Charges
